length,fold,char_num,accuracy_top1,accuracy_top3
3,8,18,0.4,0.4
3,9,1,0.8,1.0
3,9,2,0.5242424242424243,0.795959595959596
3,9,3,0.6407738095238096,0.7976190476190477
3,9,4,0.7704888888888889,0.8988444444444444
3,9,5,0.827930535455861,0.912301013024602
3,9,6,0.869582504970179,0.9135851557322731
3,9,7,0.9008185538881309,0.9327421555252388
3,9,8,0.9174957118353345,0.9421955403087479
3,9,9,0.9278327832783279,0.9456545654565457
3,9,10,0.9422950819672131,0.9563934426229508
3,9,11,0.9372340425531915,0.9457446808510638
3,9,12,0.9368421052631579,0.9425837320574163
3,9,13,0.9722772277227723,0.9722772277227723
3,9,14,0.9897435897435898,0.9897435897435898
3,9,15,0.9,0.92
3,9,16,0.8,0.8
3,9,18,0.8,0.8
4,0,1,0.7076923076923077,0.9923076923076923
4,0,2,0.5050505050505051,0.8010101010101011
4,0,3,0.6461309523809524,0.8023809523809524
4,0,4,0.7560888888888889,0.8890666666666667
4,0,5,0.8298118668596237,0.9027496382054992
4,0,6,0.8592445328031809,0.9061630218687873
4,0,7,0.8897680763983629,0.9260572987721691
4,0,8,0.9154373927958833,0.939622641509434
4,0,9,0.9282728272827283,0.9487348734873488
4,0,10,0.940327868852459,0.9550819672131148
4,0,11,0.9372340425531915,0.9468085106382979
4,0,12,0.9349282296650717,0.9416267942583733
4,0,13,0.9663366336633663,0.9722772277227723
4,0,14,0.9692307692307692,0.9743589743589743
4,0,15,0.92,0.92
4,0,16,0.7333333333333333,0.7333333333333333
4,0,18,0.4,0.4
4,1,1,0.7153846153846154,0.9615384615384616
4,1,2,0.5055555555555555,0.7863636363636364
4,1,3,0.625297619047619,0.7913690476190476
4,1,4,0.7544888888888889,0.8823111111111112
4,1,5,0.8290882778581765,0.901302460202605
4,1,6,0.8653412856196157,0.9098740888005301
4,1,7,0.888130968622101,0.9245566166439291
4,1,8,0.9084048027444254,0.9337907375643225
4,1,9,0.9236523652365236,0.9419141914191419
4,1,10,0.9370491803278689,0.9524590163934427
4,1,11,0.9351063829787234,0.9430851063829787
4,1,12,0.9244019138755981,0.9320574162679426
4,1,13,0.9623762376237623,0.9663366336633663
4,1,14,0.9794871794871794,0.9794871794871794
4,1,15,0.9,0.92
4,1,16,0.8,0.8
4,1,18,0.2,0.2
4,2,1,0.7461538461538462,0.9846153846153847
4,2,2,0.5025252525252525,0.8005050505050505
4,2,3,0.6261904761904762,0.7860119047619047
4,2,4,0.7550222222222223,0.8860444444444444
4,2,5,0.8191027496382055,0.8994211287988423
4,2,6,0.8603048376408218,0.9105367793240556
4,2,7,0.8920873124147339,0.9275579809004093
4,2,8,0.9113207547169812,0.9358490566037736
4,2,9,0.928052805280528,0.9443344334433443
4,2,10,0.9413114754098361,0.9540983606557377
4,2,11,0.9409574468085107,0.949468085106383
4,2,12,0.9291866028708134,0.937799043062201
4,2,13,0.9643564356435643,0.9683168316831683
4,2,14,0.9743589743589743,0.9743589743589743
4,2,15,0.92,0.92
4,2,16,0.9333333333333333,0.9333333333333333
4,2,18,0.4,0.4
4,3,1,0.7,0.9923076923076923
4,3,2,0.5131313131313131,0.7984848484848485
4,3,3,0.6345238095238095,0.7898809523809524
4,3,4,0.7495111111111111,0.8764444444444445
4,3,5,0.8219971056439942,0.8960926193921852
4,3,6,0.8601722995361166,0.9096090125911199
4,3,7,0.8877216916780355,0.9233287858117326
4,3,8,0.9077186963979417,0.9327615780445969
4,3,9,0.9227722772277228,0.937073707370737
4,3,10,0.9370491803278689,0.9514754098360656
4,3,11,0.9335106382978723,0.9393617021276596
4,3,12,0.9234449760765551,0.9339712918660287
4,3,13,0.9524752475247524,0.9603960396039604
4,3,14,0.9794871794871794,0.9846153846153847
4,3,15,0.94,0.94
4,3,16,0.8,0.8
4,3,18,0.2,0.2
4,4,1,0.7461538461538462,0.9923076923076923
4,4,2,0.547979797979798,0.805050505050505
4,4,3,0.6619047619047619,0.8077380952380953
4,4,4,0.7777777777777778,0.8929777777777778
4,4,5,0.8390738060781476,0.9120115774240232
4,4,6,0.8699801192842942,0.908416169648774
4,4,7,0.8956343792633015,0.9286493860845839
4,4,8,0.9164665523156089,0.9370497427101201
4,4,9,0.9289328932893289,0.9474147414741474
4,4,10,0.940327868852459,0.9547540983606557
4,4,11,0.9446808510638298,0.949468085106383
4,4,12,0.9358851674641149,0.9406698564593301
4,4,13,0.9643564356435643,0.9683168316831683
4,4,14,0.9846153846153847,0.9846153846153847
4,4,15,0.92,0.92
4,4,16,0.7333333333333333,0.7333333333333333
4,4,18,0.2,0.2
4,5,1,0.7307692307692307,0.9769230769230769
4,5,2,0.5464646464646464,0.8176767676767677
4,5,3,0.6541666666666667,0.8080357142857143
4,5,4,0.7697777777777778,0.8924444444444445
4,5,5,0.8484804630969609,0.9159189580318379
4,5,6,0.8721007289595759,0.9138502319416832
4,5,7,0.9001364256480219,0.9283765347885402
4,5,8,0.9126929674099485,0.934991423670669
4,5,9,0.9361936193619362,0.9487348734873488
4,5,10,0.9350819672131148,0.9475409836065574
4,5,11,0.9430851063829787,0.948936170212766
4,5,12,0.9311004784688995,0.938755980861244
4,5,13,0.9722772277227723,0.9742574257425742
4,5,14,0.9846153846153847,0.9846153846153847
4,5,15,0.92,0.92
4,5,16,0.7333333333333333,0.7333333333333333
4,5,18,0.2,0.2
4,6,1,0.7076923076923077,0.9923076923076923
4,6,2,0.5287878787878788,0.8101010101010101
4,6,3,0.6619047619047619,0.8065476190476191
4,6,4,0.7763555555555556,0.8936888888888889
4,6,5,0.8447178002894355,0.9134587554269175
4,6,6,0.873558648111332,0.9139827700463883
4,6,7,0.8953615279672579,0.9282401091405185
4,6,8,0.91852487135506,0.9401372212692968
4,6,9,0.9337733773377338,0.9480748074807481
4,6,10,0.9416393442622951,0.9544262295081967
4,6,11,0.9425531914893617,0.948404255319149
4,6,12,0.9502392344497608,0.9540669856459331
4,6,13,0.9663366336633663,0.9702970297029703
4,6,14,0.9897435897435898,0.9897435897435898
4,6,15,0.94,0.94
4,6,16,0.8666666666666667,0.8666666666666667
4,6,18,0.6,0.6
4,7,1,0.7461538461538462,0.9923076923076923
4,7,2,0.5363636363636364,0.8257575757575758
4,7,3,0.6714285714285714,0.8107142857142857
4,7,4,0.7765333333333333,0.8956444444444445
4,7,5,0.8389290882778582,0.9073806078147613
4,7,6,0.8777998674618953,0.91610337972167
4,7,7,0.8969986357435198,0.9291950886766712
4,7,8,0.9197255574614065,0.944082332761578
4,7,9,0.9344334433443344,0.9498349834983498
4,7,10,0.939016393442623,0.9495081967213115
4,7,11,0.9425531914893617,0.948936170212766
4,7,12,0.9330143540669856,0.9406698564593301
4,7,13,0.9643564356435643,0.9722772277227723
4,7,14,0.9846153846153847,0.9846153846153847
4,7,15,0.94,0.94
4,7,16,0.8666666666666667,0.8666666666666667
4,7,18,0.4,0.4
4,8,1,0.7692307692307693,1.0
4,8,2,0.5383838383838384,0.8196969696969697
4,8,3,0.6636904761904762,0.8148809523809524
4,8,4,0.7825777777777778,0.8917333333333334
4,8,5,0.8435600578871201,0.9163531114327063
4,8,6,0.8694499668654738,0.9149105367793241
4,8,7,0.9016371077762619,0.9336971350613915
4,8,8,0.9231560891938251,0.9432246998284735
4,8,9,0.9328932893289329,0.9485148514851485
4,8,10,0.9475409836065574,0.9573770491803278
4,8,11,0.9409574468085107,0.9457446808510638
4,8,12,0.9444976076555024,0.9473684210526315
4,8,13,0.9643564356435643,0.9722772277227723
4,8,14,0.9948717948717949,0.9948717948717949
4,8,15,0.94,0.94
4,8,16,0.8666666666666667,0.8666666666666667
4,8,18,0.4,0.4
4,9,1,0.823076923076923,1.0
4,9,2,0.5368686868686868,0.8101010101010101
4,9,3,0.6440476190476191,0.8032738095238096
4,9,4,0.7827555555555555,0.8999111111111111
4,9,5,0.8421128798842258,0.9143270622286541
4,9,6,0.8754141815772034,0.9143803843605036
4,9,7,0.9008185538881309,0.9312414733969986
4,9,8,0.9180102915951972,0.937221269296741
4,9,9,0.93003300330033,0.9467546754675468
4,9,10,0.940327868852459,0.9554098360655737
4,9,11,0.9377659574468085,0.9430851063829787
4,9,12,0.9358851674641149,0.9406698564593301
4,9,13,0.9623762376237623,0.9623762376237623
4,9,14,0.9846153846153847,0.9846153846153847
4,9,15,0.94,0.94
4,9,16,0.8,0.8
4,9,18,0.2,0.2
