Time,Type,X,Y,Keys,Finger
14:33:12.287,tap,[169],[35],[e],Left Index
14:33:13.362,tap,[482],[191],[n],Right Middle
14:33:13.512,tap,[70],[118],[a],Left Ring
14:33:14.196,swipe,"[342, 396]","[53, 51]","[t, i]",Left Index
14:33:14.596,swipe,"[670, 614]","[35, 80]","[o, n]",Right Middle
14:33:26.036,swipe,"[762, 729]","[26, 60]","[p, m]",Right Middle
14:33:27.779,tap,[187],[36],[e],Left Middle
14:33:28.029,tap,[25],[115],[a],Left Middle
14:33:28.246,tap,[128],[127],[s],Left Middle
14:33:28.421,tap,[171],[55],[e],Left Middle
14:33:30.880,swipe,"[771, 719]","[33, 79]","[p, m]",Right Middle
