Time,Type,X,Y,Keys,Finger
14:28:44.289,tap,[332],[58],[t],Left Index
14:28:44.455,tap,[193],[49],[e],Left Middle
14:28:44.630,tap,[195],[44],[e],Left Middle
14:28:44.872,tap,[213],[101],[d],Left Middle
14:28:45.823,tap,[273],[50],[r],Left Middle
14:28:45.856,tap,[192],[49],[e],Left Middle
14:28:46.573,tap,[353],[97],[g],Right Index
14:28:46.673,tap,[593],[45],[i],Right Index
14:28:46.782,tap,[140],[115],[s],Left Ring
14:28:46.990,tap,[344],[56],[t],Left Index
14:28:47.124,tap,[209],[46],[e],Left Index
14:28:47.315,tap,[200],[41],[e],Left Index
14:28:47.515,tap,[212],[106],[d],Left Index
14:28:48.466,tap,[260],[45],[r],Left Index
14:28:48.524,tap,[185],[45],[e],Left Index
14:28:49.200,tap,[357],[106],[g],Left Index
14:28:49.308,tap,[584],[47],[i],Right Index
14:28:49.558,tap,[333],[55],[t],Left Index
14:28:49.792,tap,[196],[48],[e],Left Index
14:28:51.359,tap,[267],[50],[r],Left Index
14:28:51.392,tap,[194],[45],[e],Left Index
14:28:51.593,tap,[346],[87],[g],Left Index
14:28:51.676,tap,[612],[27],[i],Right Index
14:28:51.843,tap,[117],[127],[s],Left Ring
14:28:53.686,tap,[271],[45],[r],Left Index
14:28:53.710,tap,[189],[35],[e],Left Index
14:28:53.977,tap,[344],[90],[g],Left Index
14:28:54.069,tap,[585],[28],[i],Right Index
14:28:54.269,tap,[117],[125],[s],Left Ring
14:28:54.736,tap,[316],[56],[r],Left Index
14:28:54.895,tap,[192],[51],[e],Left Index
14:28:55.053,tap,[265],[45],[r],Left Index
14:28:55.078,tap,[187],[43],[e],Left Index
14:28:55.595,tap,[203],[103],[d],Left Index
14:28:57.613,tap,[260],[52],[r],Left Index
14:28:57.704,tap,[189],[50],[e],Left Index
14:28:57.947,tap,[357],[97],[g],Left Index
14:28:58.046,tap,[614],[39],[i],Right Index
14:28:58.189,tap,[129],[119],[s],Left Ring
14:28:58.438,tap,[337],[53],[t],Left Index
14:28:58.688,tap,[198],[38],[e],Left Index
14:28:58.964,tap,[264],[39],[r],Left Index
14:28:59.647,swipe,"[181, 189]","[34, 70]","[e, m]",Left Index
14:29:02.421,tap,[577],[190],[m],Right Middle
14:29:02.546,tap,[66],[142],[a],Left Ring
14:29:02.946,swipe,"[610, 665]","[23, 53]","[i, enter]",Right Middle
14:29:11.843,tap,[411],[202],[b],Right Middle
14:29:12.010,tap,[448],[62],[y],Right Middle
14:29:13.410,tap,[702],[62],[o],Right Middle
14:29:13.418,tap,[398],[197],[b],Right Middle
14:29:13.493,tap,[450],[52],[y],Right Middle
14:29:15.152,tap,[400],[170],[b],Right Middle
14:29:15.635,tap,[199],[42],[e],Left Middle
14:29:15.668,tap,[283],[50],[r],Left Middle
14:29:16.552,tap,[420],[57],[y],Right Index
14:29:17.452,tap,[273],[48],[r],Left Index
14:29:17.485,tap,[205],[45],[e],Left Index
14:29:17.786,tap,[366],[108],[g],Left Index
14:29:17.903,tap,[596],[31],[i],Right Index
14:29:18.227,tap,[154],[105],[s],Left Ring
14:29:18.477,tap,[360],[58],[t],Left Index
14:29:18.727,tap,[212],[58],[e],Left Index
14:29:18.936,tap,[278],[46],[r],Left Index
14:29:19.511,swipe,"[198, 205]","[38, 78]","[e, m]",Left Index
14:29:20.728,tap,[576],[212],[m],Right Middle
14:29:20.911,tap,[75],[139],[a],Left Ring
14:29:21.219,swipe,"[589, 631]","[25, 54]","[i, l]",Right Middle
14:29:24.054,tap,[693],[102],[l],Right Middle
14:29:24.103,tap,[285],[106],[f],Left Index
14:29:24.270,tap,[595],[50],[i],Right Middle
14:29:25.362,tap,[678],[111],[l],Right Middle
14:29:25.545,tap,[600],[53],[i],Right Middle
14:29:25.712,tap,[307],[122],[f],Left Middle
14:29:25.762,tap,[205],[58],[e],Left Middle
14:29:26.429,tap,[601],[51],[i],Right Index
14:29:27.163,tap,[411],[190],[b],Right Index
14:29:27.213,tap,[523],[35],[u],Right Index
14:29:27.313,tap,[340],[73],[t],Right Index
14:29:27.838,tap,[72],[151],[a],Left Ring
