Time,Type,X,Y,Keys,Finger
15:35:36.563,swipe,"[132, 43]","[31, 163]","[w, n]",Left Middle
15:35:37.105,swipe,"[519, 332]","[201, 27]","[n, t]",Right Middle
15:35:37.547,tap,[357],[43],[t],Right Middle
15:35:37.881,tap,[663],[31],[o],Right Middle
15:35:39.582,swipe,"[121, 36]","[40, 166]","[w, n]",Left Middle
15:35:40.091,swipe,"[500, 353]","[200, 17]","[n, t]",Right Middle
15:35:41.475,tap,[369],[39],[t],Right Middle
15:35:41.834,tap,[663],[32],[o],Right Middle
15:35:43.185,swipe,"[515, 690]","[132, 15]","[j, o]",Right Middle
15:35:43.527,swipe,"[583, 469.5]","[27, 224]","[i, n]",Right Middle
15:35:44.644,tap,[777],[44],[p],Right Middle
15:35:44.970,tap,[772],[41],[p],Right Middle
15:35:47.496,swipe,"[521, 669]","[134, 41]","[j, p]",Right Middle
15:35:47.922,swipe,"[593, 499]","[25, 207]","[i, n]",Right Middle
15:35:50.540,tap,[518],[35],[u],Right Middle
15:35:50.757,tap,[137],[116],[s],Left Index
15:35:52.250,swipe,"[295, 654]","[113, 52]","[f, u]",Left Index
15:35:52.550,tap,[260],[31],[r],Left Index
15:35:54.676,swipe,"[677, 494]","[129, 27]","[l, y]",Right Middle
15:35:55.326,swipe,"[519, 266]","[207, 192]","[n, c]",Right Middle
15:35:55.985,tap,[462],[119],[h],Right Middle
15:36:00.196,swipe,"[703, 669]","[131, 8]","[l, o]",Right Middle
15:36:00.813,swipe,"[347, 175]","[214, 18]","[v, e]",Left Index
15:36:02.097,swipe,"[586, 411]","[206, 107]","[m, g]",Right Middle
15:36:02.948,swipe,"[51, 306]","[135, 169]","[a, c]",Left Middle
15:36:03.482,tap,[139],[127],[s],Left Index
15:36:05.800,tap,[768],[36],[p],Right Middle
15:36:09.702,swipe,"[687, 661]","[127, 5]","[l, o]",Right Middle
15:36:10.219,swipe,"[339, 182]","[214, 39]","[v, e]",Left Index
15:36:12.320,swipe,"[591, 448]","[200, 153]","[m, g]",Right Middle
15:36:14.330,swipe,"[38, 336]","[126, 193]","[a, c]",Left Middle
15:36:14.822,tap,[135],[128],[s],Left Middle
15:36:16.731,tap,[574],[193],[m],Right Middle
15:36:16.915,tap,[191],[52],[e],Left Middle
15:36:17.774,swipe,"[56, 410]","[118, 183]","[a, c]",Left Middle
15:36:18.149,tap,[133],[120],[s],Left Middle
15:36:19.633,tap,[795],[32],[p],Right Middle
15:36:22.184,swipe,"[589, 402]","[214, 118]","[m, g]",Right Middle
15:36:22.960,swipe,"[53, 379]","[125, 183]","[a, c]",Left Middle
15:36:23.894,tap,[140],[113],[s],Left Index
15:36:26.228,tap,[568],[193],[m],Right Middle
15:36:26.445,tap,[194],[41],[e],Left Middle
15:36:26.812,tap,[77],[115],[a],Left Middle
15:36:26.971,tap,[499],[187],[n],Right Middle
15:36:27.154,tap,[157],[104],[s],Left Index
15:36:28.505,swipe,"[584, 403]","[198, 167]","[m, g]",Right Middle
15:36:29.655,swipe,"[517, 433]","[201, 58]","[n, t]",Right Middle
15:36:31.256,swipe,"[355, 483.5]","[41, 142]","[t, m]",Right Middle
15:36:32.265,swipe,"[593, 489]","[21, 184]","[i, n]",Right Middle
15:36:32.665,tap,[376],[116],[g],Right Middle
15:36:32.891,tap,[136],[118],[s],Left Index
15:36:36.660,tap,[225],[127],[d],Left Index
15:36:37.068,tap,[677],[37],[o],Right Middle
15:36:38.319,swipe,"[497, 663]","[209, 36]","[n, o]",Right Middle
15:36:38.569,tap,[359],[36],[t],Left Index
15:36:41.187,swipe,"[217, 292]","[141, 13]","[d, r]",Left Index
15:36:41.804,swipe,"[598, 491]","[33, 195]","[i, n]",Right Middle
15:36:42.021,tap,[616],[101],[k],Right Middle
15:36:43.005,swipe,"[343, 458]","[32, 122]","[t, n]",Right Middle
15:36:43.313,tap,[180],[43],[e],Left Middle
15:36:47.391,swipe,"[200, 277]","[140, 24]","[d, r]",Left Middle
15:36:48.249,swipe,"[604, 505]","[29, 202]","[i, n]",Right Middle
15:36:48.466,tap,[612],[113],[k],Right Middle
15:36:50.509,swipe,"[349, 478]","[29, 146]","[t, n]",Right Middle
15:36:50.884,tap,[186],[61],[e],Left Middle
15:36:53.995,swipe,"[99, 54]","[39, 139]","[w, t]",Left Middle
