Time,Type,X,Y,Keys,Finger
12:26:37.513,swipe,"[347, 580]","[31, 26]","[t, i]",Left Middle
12:26:38.822,swipe,"[259, 584]","[210, 114]","[c, h]",Left Middle
12:26:40.023,swipe,"[192, 343]","[38, 39]","[e, y]",Left Middle
12:26:40.464,tap,[124],[120],[s],Left Middle
12:26:42.257,swipe,"[45, 250]","[131, 62]","[a, r]",Left Middle
12:26:42.867,tap,[193],[43],[e],Left Middle
12:26:46.284,swipe,"[367, 244]","[204, 68]","[v, e]",Right Ring
12:26:46.951,swipe,"[267, 427]","[52, 41]","[r, u]",Left Index
12:26:48.285,swipe,"[196, 193]","[55, 181]","[e, e]",Left Index
12:26:50.220,swipe,"[196, 166]","[50, 220]","[e, p]",Left Index
12:26:50.962,swipe,"[750, 516]","[51, 36]","[p, u]",Right Middle
12:26:53.297,tap,[489],[209],[n],Right Middle
12:26:54.014,swipe,"[124, 327]","[129.5, 102]","[s, g]",Left Middle
12:26:54.822,swipe,"[312, 204]","[210, 51]","[v, e]",Left Index
12:26:58.825,swipe,"[359, 458]","[21, 127]","[t, n]",Left Index
12:26:59.533,tap,[227],[51],[e],Left Index
12:27:01.493,swipe,"[138, 205]","[149, 55]","[s, r]",Left Middle
12:27:02.735,swipe,"[262, 574]","[210, 71]","[c, h]",Left Middle
12:27:04.061,swipe,"[488, 250]","[203, 124]","[n, d]",Right Ring
12:27:06.021,swipe,"[684, 409]","[117, 104]","[l, h]",Right Ring
12:27:07.547,tap,[297],[43],[r],Right Ring
12:27:08.355,swipe,"[362, 204]","[138, 49]","[g, w]",Right Ring
12:27:08.956,swipe,"[139, 316]","[144, 94]","[s, t]",Left Middle
12:27:10.890,swipe,"[237, 349]","[207, 135]","[c, y]",Left Middle
12:27:12.758,swipe,"[492, 508]","[25, 211]","[u, t]",Right Middle
12:27:13.508,tap,[362],[54],[t],Right Middle
12:27:14.183,swipe,"[269, 411]","[64, 54]","[r, u]",Left Index
12:27:16.927,swipe,"[367, 458]","[54, 131]","[t, m]",Left Index
12:27:17.294,tap,[192],[37],[e],Left Index
12:27:18.369,swipe,"[719, 646]","[50, 53]","[o, y]",Right Middle
12:27:19.078,swipe,"[99, 218]","[50, 43]","[w, t]",Left Middle
12:27:21.204,tap,[245],[49],[r],Left Middle
12:27:23.355,swipe,"[741, 662]","[51, 41]","[p, u]",Right Middle
12:27:24.615,tap,[114],[52],[w],Left Index
