Time,Trial Num,Target,TapOnly,Word_top1,Word_top2,Word_top3,Sequence
12:29:00.104,0,the world is a stage,true,t,,,T
12:29:00.462,0,the world is a stage,false,thy,,,TH205degrees
12:29:01.137,0,the world is a stage,true,w,,,W
12:29:01.246,0,the world is a stage,true,wo,,,WO
12:29:01.421,0,the world is a stage,true,wor,,,WOR
12:29:02.921,0,the world is a stage,true,t,,,T
12:29:03.055,0,the world is a stage,true,th,,,TH
12:29:03.181,0,the world is a stage,true,the,,,THE
12:29:03.605,0,the world is a stage,true,w,,,W
12:29:03.706,0,the world is a stage,true,wo,,,WO
12:29:03.831,0,the world is a stage,true,wor,,,WOR
12:29:04.939,0,the world is a stage,false,world,quite,,WORL187degrees
12:29:05.832,0,the world is a stage,true,i,,,I
12:29:05.957,0,the world is a stage,true,is,,,IS
12:29:06.290,0,the world is a stage,true,a,,,A
12:29:06.616,0,the world is a stage,true,s,,,S
12:29:06.724,0,the world is a stage,true,st,,,ST
12:29:06.899,0,the world is a stage,true,sta,,,STA
12:29:07.249,0,the world is a stage,false,atlas,,,STAG215degrees
12:29:08.391,0,the world is a stage,true,s,,,S
12:29:08.501,0,the world is a stage,true,st,,,ST
12:29:08.642,0,the world is a stage,true,sta,,,STA
12:29:08.991,0,the world is a stage,false,laden,,,STAG202degrees
12:29:09.942,0,the world is a stage,true,s,,,S
12:29:10.068,0,the world is a stage,true,st,,,ST
12:29:10.201,0,the world is a stage,true,sta,,,STA
12:29:10.613,0,the world is a stage,false,heavy,awful,,STAG213degrees
12:29:11.502,0,the world is a stage,true,s,,,S
12:29:11.619,0,the world is a stage,true,st,,,ST
12:29:11.702,0,the world is a stage,true,sta,,,STA
12:29:11.835,0,the world is a stage,true,stag,,,STAG
12:29:11.978,0,the world is a stage,true,stage,,,STAGE
12:29:14.011,1,is she done yet,true,i,,,I
12:29:14.112,1,is she done yet,true,is,,,IS
12:29:14.511,1,is she done yet,false,idle,isle,,ISH211degrees
12:29:15.462,1,is she done yet,true,i,,,I
12:29:15.571,1,is she done yet,true,is,,,IS
12:29:15.870,1,is she done yet,true,s,,,S
12:29:16.230,1,is she done yet,false,ard,,,SH212degrees
12:29:17.296,1,is she done yet,true,i,,,I
12:29:18.146,1,is she done yet,true,s,,,S
12:29:18.597,1,is she done yet,false,,,,SH203degrees
12:29:20.531,1,is she done yet,true,s,,,S
12:29:21.047,1,is she done yet,false,,,,SH205degrees
12:29:21.915,1,is she done yet,true,s,,,S
12:29:22.604,1,is she done yet,false,,,,SH199degrees
12:29:23.292,1,is she done yet,true,s,,,S
12:29:23.426,1,is she done yet,true,sh,,,SH
12:29:23.534,1,is she done yet,true,she,,,SHE
12:29:23.875,1,is she done yet,true,d,,,D
12:29:23.992,1,is she done yet,true,do,,,DO
12:29:24.417,1,is she done yet,false,bind,fold,,DON208degrees
12:29:25.534,1,is she done yet,true,d,,,D
12:29:26.224,1,is she done yet,false,ent,,,DN217degrees
12:29:27.385,1,is she done yet,true,d,,,D
12:29:27.528,1,is she done yet,true,do,,,DO
12:29:27.761,1,is she done yet,true,don,,,DON
12:29:28.220,1,is she done yet,false,floor,front,decor,DONN217degrees
12:29:28.945,1,is she done yet,true,d,,,D
12:29:29.095,1,is she done yet,true,di,,,DI
12:29:29.593,1,is she done yet,false,zone,fine,done,DIN211degrees
12:29:31.554,1,is she done yet,true,y,,,Y
12:29:31.655,1,is she done yet,true,ye,,,YE
12:29:31.763,1,is she done yet,true,yet,,,YET
12:29:34.589,2,life if but a dream,true,l,,,L
12:29:34.790,2,life if but a dream,true,li,,,LI
12:29:35.354,2,life if but a dream,false,life,live,rage,LIF219degrees
12:29:36.457,2,life if but a dream,true,i,,,I
12:29:36.558,2,life if but a dream,true,if,,,IF
12:29:36.823,2,life if but a dream,true,b,,,B
12:29:36.916,2,life if but a dream,true,bu,,,BU
12:29:37.067,2,life if but a dream,true,but,,,BUT
12:29:37.357,2,life if but a dream,true,a,,,A
12:29:37.617,2,life if but a dream,true,d,,,D
12:29:37.875,2,life if but a dream,true,dr,,,DR
12:29:37.950,2,life if but a dream,true,dre,,,DRE
12:29:38.409,2,life if but a dream,false,frank,,,DREA3degrees
12:29:39.451,2,life if but a dream,true,d,,,D
12:29:39.710,2,life if but a dream,true,dr,,,DR
12:29:39.793,2,life if but a dream,true,dre,,,DRE
12:29:40.218,2,life if but a dream,false,frank,,,DREA9degrees
12:29:41.026,2,life if but a dream,true,d,,,D
12:29:41.294,2,life if but a dream,true,dr,,,DR
12:29:41.419,2,life if but a dream,true,dre,,,DRE
12:29:41.882,2,life if but a dream,false,frank,,,DREA9degrees
12:29:42.504,2,life if but a dream,true,d,,,D
12:29:42.777,2,life if but a dream,true,dr,,,DR
12:29:42.861,2,life if but a dream,true,dre,,,DRE
12:29:43.061,2,life if but a dream,false,dress,freed,feeds,DREA136degrees
12:29:43.206,2,life if but a dream,false,dreams,,,DREA136degreesM
12:29:44.645,2,life if but a dream,true,d,,,D
12:29:44.938,2,life if but a dream,true,dr,,,DR
12:29:45.196,2,life if but a dream,true,dra,,,DRA
12:29:45.354,2,life if but a dream,true,dram,,,DRAM
12:29:46.521,2,life if but a dream,true,d,,,D
12:29:46.789,2,life if but a dream,true,dr,,,DR
12:29:46.972,2,life if but a dream,true,dre,,,DRE
12:29:47.155,2,life if but a dream,true,drea,,,DREA
12:29:47.297,2,life if but a dream,true,dream,,,DREAM
12:29:49.973,3,zero in on the facts,true,z,,,Z
12:29:50.324,3,zero in on the facts,true,ze,,,ZE
12:29:50.382,3,zero in on the facts,true,zer,,,ZER
12:29:50.599,3,zero in on the facts,true,zero,,,ZERO
12:29:51.182,3,zero in on the facts,true,i,,,I
12:29:51.349,3,zero in on the facts,true,in,,,IN
12:29:51.674,3,zero in on the facts,true,o,,,O
12:29:51.833,3,zero in on the facts,true,on,,,ON
12:29:52.083,3,zero in on the facts,true,ont,,,ONT
12:29:52.192,3,zero in on the facts,true,onth,,,ONTH
12:29:52.799,3,zero in on the facts,true,f,,,F
12:29:52.942,3,zero in on the facts,true,f,,,F
12:29:53.335,3,zero in on the facts,false,fact,fast,,FC297degrees
12:29:53.442,3,zero in on the facts,false,,,,FC297degreesF303degrees
12:29:53.990,3,zero in on the facts,false,,,,FC297degreesF303degreesS
12:29:55.167,3,zero in on the facts,true,s,,,S
12:29:56.760,3,zero in on the facts,true,s,,,S
12:29:59.737,3,zero in on the facts,true,o,,,O
12:29:59.913,3,zero in on the facts,true,on,,,ON
12:30:00.295,3,zero in on the facts,true,t,,,T
12:30:00.413,3,zero in on the facts,true,th,,,TH
12:30:00.537,3,zero in on the facts,true,the,,,THE
12:30:00.820,3,zero in on the facts,true,f,,,F
12:30:00.971,3,zero in on the facts,true,fa,,,FA
12:30:01.346,3,zero in on the facts,false,fact,fast,feet,FAC289degrees
12:30:01.582,3,zero in on the facts,false,facts,faces,gifts,FAC289degreesA
12:30:03.855,4,stability of the nation,true,s,,,S
12:30:03.964,4,stability of the nation,true,st,,,ST
12:30:04.115,4,stability of the nation,true,sta,,,STA
12:30:04.223,4,stability of the nation,true,stab,,,STAB
12:30:04.432,4,stability of the nation,true,stabi,,,STABI
12:30:04.640,4,stability of the nation,true,stabil,,,STABIL
12:30:04.974,4,stability of the nation,false,,,,STABILT2degrees
12:30:08.951,4,stability of the nation,true,s,,,S
12:30:09.068,4,stability of the nation,true,st,,,ST
12:30:09.204,4,stability of the nation,true,sta,,,STA
12:30:09.326,4,stability of the nation,true,stab,,,STAB
12:30:09.560,4,stability of the nation,true,stabi,,,STABI
12:30:09.785,4,stability of the nation,true,stabil,,,STABIL
12:30:09.993,4,stability of the nation,true,stabili,,,STABILI
12:30:10.085,4,stability of the nation,true,stabilit,,,STABILIT
12:30:10.226,4,stability of the nation,true,stability,,,STABILITY
12:30:10.609,4,stability of the nation,true,o,,,O
12:30:10.985,4,stability of the nation,true,t,,,T
12:30:11.010,4,stability of the nation,true,th,,,TH
12:30:11.236,4,stability of the nation,true,the,,,THE
12:30:11.485,4,stability of the nation,true,n,,,N
12:30:11.769,4,stability of the nation,true,nt,,,NT
12:30:12.112,4,stability of the nation,false,neil,ntto,nato,NTI352degrees
12:30:12.348,4,stability of the nation,false,,,,NTI352degreesN
12:30:13.687,4,stability of the nation,true,n,,,N
12:30:13.845,4,stability of the nation,true,na,,,NA
12:30:14.029,4,stability of the nation,true,nat,,,NAT
12:30:14.437,4,stability of the nation,false,mario,macro,fatty,NATI358degrees
12:30:14.650,4,stability of the nation,false,nation,marion,nature,NATI358degreesN
12:30:17.504,5,please follow the guidelines,true,p,,,P
12:30:17.581,5,please follow the guidelines,true,pl,,,PL
12:30:17.790,5,please follow the guidelines,true,ple,,,PLE
12:30:18.065,5,please follow the guidelines,true,plea,,,PLEA
12:30:18.273,5,please follow the guidelines,true,pleas,,,PLEAS
12:30:18.381,5,please follow the guidelines,true,please,,,PLEASE
12:30:18.714,5,please follow the guidelines,true,d,,,D
12:30:18.823,5,please follow the guidelines,true,do,,,DO
12:30:19.032,5,please follow the guidelines,true,dol,,,DOL
12:30:19.182,5,please follow the guidelines,true,doll,,,DOLL
12:30:19.588,5,please follow the guidelines,false,floppy,follow,,DOLLO180degrees
12:30:20.656,5,please follow the guidelines,true,d,,,D
12:30:20.783,5,please follow the guidelines,true,do,,,DO
12:30:20.983,5,please follow the guidelines,true,dol,,,DOL
12:30:21.208,5,please follow the guidelines,true,doll,,,DOLL
12:30:21.600,5,please follow the guidelines,false,floppy,follow,fillos,DOLLO181degrees
12:30:23.441,5,please follow the guidelines,true,t,,,T
12:30:23.576,5,please follow the guidelines,true,th,,,TH
12:30:23.583,5,please follow the guidelines,true,th,,,TH
12:30:23.718,5,please follow the guidelines,true,the,,,THE
12:30:24.751,5,please follow the guidelines,true,g,,,G
12:30:24.851,5,please follow the guidelines,true,gu,,,GU
12:30:25.027,5,please follow the guidelines,true,gui,,,GUI
