pid,target,word,count,insert_start_time,insert_end_time,category,swipe_ratio,tap_ratio,swipe_dist,swipe_key_set
2,he,he,2,1900-01-01 14:33:28.955,1900-01-01 14:33:30.822,top1,0.0,1.0,[],[]
2,called,called,6,1900-01-01 14:33:30.822,1900-01-01 14:33:42.178,top1,0.5714285714285714,0.42857142857142855,"[[3.0617264788432683, 2.692582403567252], [6.568012675079122, 6.329494450586081], [0, 0], [0, 0]]","[['c', 'a'], ['l', 'e'], ['', ''], ['', '']]"
2,seven,seven,5,1900-01-01 14:33:42.178,1900-01-01 14:33:45.288,top1,0.0,1.0,[],[]
2,times,times,5,1900-01-01 14:33:45.288,1900-01-01 14:33:48.417,top3,0.25,0.75,"[[1.3700388509545998, 1.25]]","[['e', 's']]"
2,sent,sent,4,1900-01-01 14:33:49.975,1900-01-01 14:33:55.932,top3,1.0,0.0,"[[1.4530556865189306, 1.25], [2.7666175478822512, 2.6575364531836625]]","[['s', 'e'], ['n', 't']]"
2,this,this,4,1900-01-01 14:33:55.932,1900-01-01 14:33:58.245,top1,0.0,1.0,[],[]
2,by,by,2,1900-01-01 14:33:58.245,1900-01-01 14:33:59.488,top1,0.0,1.0,[],[]
2,registered,registered,10,1900-01-01 14:34:08.835,1900-01-01 14:34:12.578,top1,0.0,1.0,[],[]
2,mail,mail,4,1900-01-01 14:34:12.578,1900-01-01 14:34:15.171,top1,0.0,1.0,[],[]
2,stability,stability,9,1900-01-01 14:34:19.424,1900-01-01 14:34:23.284,top1,0.0,1.0,[],[]
2,of,of,2,1900-01-01 14:34:29.646,1900-01-01 14:34:31.005,top1,0.0,1.0,[],[]
2,the,the,3,1900-01-01 14:34:35.116,1900-01-01 14:34:36.459,top1,0.0,1.0,[],[]
2,nation,nation,6,1900-01-01 14:34:36.459,1900-01-01 14:34:39.027,top1,0.0,1.0,[],[]
2,communicate,cimmunicate,11,1900-01-01 14:34:39.528,1900-01-01 14:34:44.096,incorrect,0.0,1.0,[],[]
2,through,through,7,1900-01-01 14:34:56.845,1900-01-01 14:34:59.655,top1,0.0,1.0,[],[]
2,email,email,5,1900-01-01 14:34:59.655,1900-01-01 14:35:02.356,top1,0.0,1.0,[],[]
2,question,question,8,1900-01-01 14:35:02.857,1900-01-01 14:35:07.051,top1,0.0,1.0,[],[]
2,that,that,4,1900-01-01 14:35:07.051,1900-01-01 14:35:08.143,top1,0.0,1.0,[],[]
2,must,must,4,1900-01-01 14:35:11.395,1900-01-01 14:35:12.529,top1,0.0,1.0,[],[]
2,be,be,2,1900-01-01 14:35:12.529,1900-01-01 14:35:12.854,top1,0.0,1.0,[],[]
2,answered,answered,8,1900-01-01 14:35:12.854,1900-01-01 14:35:16.331,top1,0.0,1.0,[],[]
2,this,this,4,1900-01-01 14:35:21.884,1900-01-01 14:35:23.451,top1,0.0,1.0,[],[]
