distance,target_distance,target_start_key,target_end_key
1.0443933945118573,1.0307764064044151,l,o
1.539850911005673,1.6007810593582121,t,h
2.2723398767845007,2.3584952830141512,i,n
3.130148019662968,3.0,g,s
3.013365977710805,3.0,y,o
3.029183906702431,3.0,u,r
5.422587206825262,5.153882032022076,m,e
2.896656073172996,2.6575364531836625,n,t
1.3371011846995724,1.25,w,a
2.779267130243151,2.6575364531836625,n,t
1.1322610813103136,1.0307764064044151,d,e
3.0617264788432683,2.692582403567252,c,a
6.568012675079122,6.329494450586081,l,e
1.3700388509545998,1.25,e,s
1.4530556865189306,1.25,s,e
2.7666175478822512,2.6575364531836625,n,t
1.0809299381782336,1.25,p,l
1.179224221946361,1.0307764064044151,d,e
1.757532618829591,1.6007810593582121,t,h
1.8759478312642375,2.0,p,i
3.7893315394176055,3.881043674065006,t,a
1.668882560277984,2.0,o,u
5.924271888278762,5.5901699437494745,n,a
2.863742931571373,3.0,t,i
3.16518715135851,3.010398644698074,o,n
6.092635314716038,6.0,q,u
3.0958789593990907,2.9261749776799064,a,r
2.129465253443925,2.0,t,e
2.8972439193352364,3.0,t,i
2.319197712841663,2.3584952830141512,z,e
1.4755387575390888,6.0,l,d
2.772487221003011,4.25,n,e
1.559937764183238,1.6007810593582121,f,e
1.5278655965921872,2.3584952830141512,c,t
1.2696075242471598,1.0,i,o
1.496855187760326,7.0,o,w
1.3225085833842438,4.25,n,e
1.8112796753952718,3.4003676271838605,h,e
1.5872524265613834,3.4003676271838605,h,e
1.5101178037656529,2.9261749776799064,s,t
0.7983639912345748,1.0,e,r
1.1405968078707747,2.0,r,y
1.750579368380651,3.4003676271838605,h,e
1.0672264652476533,2.0,r,y
1.0224533073079671,1.0307764064044151,e,d
1.5701606705206952,4.8541219597369,a,y
1.769812313495417,1.25,r,d
0.9945581933703027,1.0,i,o
1.402751297673611,3.881043674065006,a,t
1.0608554110363015,1.0307764064044151,e,d
1.3492570293498567,2.1360009363293826,e,c
1.399676614436348,2.0,o,u
2.1871260894722093,4.25,e,n
1.4373183580891182,2.3584952830141512,i,n
1.0937210710459957,1.0307764064044151,e,d
2.339757305790496,2.6575364531836625,e,v
1.1436220761794513,5.153882032022076,m,e
1.8694771996470032,2.3584952830141512,i,n
1.755038429956734,5.618051263561059,o,c
2.1568869131806614,4.25,e,n
1.4421286892125815,5.836308764964376,i,s
1.697443380867238,1.6007810593582121,i,l
1.2485145736534267,5.618051263561059,o,c
1.0193817443063224,3.4003676271838605,h,e
1.9215765825227993,3.881043674065006,a,t
1.1705525471438691,2.0,t,e
1.0631860285246417,6.82367203197809,a,i
2.018622310203174,6.0,q,u
0.8601337559502007,3.0,t,i
1.3297804858791553,6.329494450586081,l,e
0.7671367727628496,6.82367203197809,s,o
1.7189464115047333,3.881043674065006,a,t
1.2372008981972171,2.6575364531836625,n,t
0.8751475322052846,2.692582403567252,c,h
1.8935384576567227,2.3584952830141512,n,i
1.5028750051983697,2.1360009363293826,c,e
1.1258655559168687,2.3584952830141512,i,n
0.8792074644957241,3.0,t,i
1.3406653956617967,5.836308764964376,i,s
1.3154309417449477,4.8541219597369,d,i
0.7092097715062871,3.0,t,i
1.7942750015674853,2.6575364531836625,v,e
