pid,tid,wpm,corrected_word,uncorrected_error,corrected_error,uwer,cwer
0,0,9.166719714813166,5,0,5,0.0,0.5
0,1,12.259813745137333,5,0,4,0.0,0.4444444444444444
0,2,8.113590263691684,5,0,9,0.0,0.6428571428571429
0,3,25.308827960228985,5,0,1,0.0,0.16666666666666666
0,4,34.59043958683641,6,0,0,0.0,0.0
0,5,13.100436681222707,5,0,5,0.0,0.5
0,6,20.38938053097345,3,0,1,0.0,0.25
0,7,33.350488934637156,4,0,0,0.0,0.0
0,8,18.02188371594078,4,0,2,0.0,0.3333333333333333
0,9,12.90117066178227,5,0,5,0.0,0.5
0,10,6.444406255370337,3,0,6,0.0,0.6666666666666666
0,11,12.082564188622252,5,0,5,0.0,0.5
0,12,8.31889081455806,4,0,6,0.0,0.6
0,13,41.00652376514445,3,1,0,0.25,0.0
0,14,13.902760576884663,5,0,3,0.0,0.375
0,15,17.41357234314981,4,0,2,0.0,0.3333333333333333
0,16,10.204081632653061,5,0,3,0.0,0.375
0,17,8.920551339631409,5,0,6,0.0,0.5454545454545454
0,18,13.719773623735211,5,0,5,0.0,0.5
0,19,14.329580348004097,3,1,4,0.125,0.5
0,20,20.456870098874873,4,0,2,0.0,0.3333333333333333
0,21,10.227999147666736,4,0,5,0.0,0.5555555555555556
0,22,26.131139608032903,5,0,1,0.0,0.16666666666666666
0,23,8.108108108108109,5,0,6,0.0,0.5454545454545454
0,24,23.544184586407155,4,0,1,0.0,0.2
0,25,33.8409475465313,4,0,0,0.0,0.0
0,26,18.962075848303392,5,0,2,0.0,0.2857142857142857
0,27,26.371106439900633,3,0,0,0.0,0.0
0,28,21.27224381264062,4,0,1,0.0,0.2
0,29,7.646443038550816,3,1,8,0.08333333333333333,0.6666666666666666
28,0,21.74367551745766,5,0,1,0.0,0.16666666666666666
28,1,22.329735764793448,4,0,0,0.0,0.0
28,2,21.015761821366024,3,0,0,0.0,0.0
28,3,10.761315901260206,5,0,3,0.0,0.375
28,4,13.148283418553689,4,0,3,0.0,0.42857142857142855
28,5,25.894265084239358,4,0,0,0.0,0.0
28,6,25.562130177514792,5,0,0,0.0,0.0
28,7,20.62249379415696,5,0,0,0.0,0.0
28,8,14.996875650906059,5,0,2,0.0,0.2857142857142857
28,9,24.57606291472106,4,0,0,0.0,0.0
28,10,23.514657469822858,3,0,0,0.0,0.0
28,11,24.467603081105572,4,0,0,0.0,0.0
28,12,15.368065160596279,4,0,2,0.0,0.3333333333333333
28,13,9.665170866413531,4,0,4,0.0,0.5
28,14,16.762006119462548,4,0,1,0.0,0.2
28,15,21.025919883994927,5,0,1,0.0,0.16666666666666666
28,16,10.138560324433929,5,0,4,0.0,0.4444444444444444
28,17,16.031240365841125,5,0,2,0.0,0.2857142857142857
28,18,30.729833546734955,3,0,0,0.0,0.0
28,19,24.24530544330877,4,0,0,0.0,0.0
28,20,21.96108649585822,5,0,1,0.0,0.16666666666666666
28,21,22.857142857142858,6,0,1,0.0,0.14285714285714285
28,22,15.836357637743319,5,0,2,0.0,0.2857142857142857
28,23,11.559580001926596,5,0,6,0.0,0.5454545454545454
28,24,32.634032634032636,5,0,0,0.0,0.0
28,25,18.23576235617628,5,0,3,0.0,0.375
28,26,15.581524763494713,4,0,2,0.0,0.3333333333333333
28,27,13.25261780104712,5,0,4,0.0,0.4444444444444444
28,28,14.751075599262444,4,0,3,0.0,0.42857142857142855
28,29,31.376277632517237,4,0,0,0.0,0.0
29,0,16.758801280186212,6,0,2,0.0,0.25
29,1,19.17840653486445,5,0,1,0.0,0.16666666666666666
29,2,23.51557907113463,4,0,0,0.0,0.0
29,3,14.12664933536077,5,0,2,0.0,0.2857142857142857
29,4,23.374455059827476,4,0,0,0.0,0.0
29,5,19.526306273729887,5,0,0,0.0,0.0
29,6,23.032629558541267,5,0,1,0.0,0.16666666666666666
29,7,16.59152389540126,3,0,1,0.0,0.25
29,8,11.795543905635649,4,0,5,0.0,0.5555555555555556
29,9,18.477331052181352,5,0,0,0.0,0.0
29,10,12.498140157714625,4,0,2,0.0,0.3333333333333333
29,11,23.641085340736097,4,0,0,0.0,0.0
29,12,8.634074298481464,5,0,5,0.0,0.5
29,13,15.335855229526633,4,0,0,0.0,0.0
29,14,22.706794016939988,5,0,1,0.0,0.16666666666666666
29,15,27.59108595684471,5,0,0,0.0,0.0
29,16,25.55366269165247,4,0,0,0.0,0.0
29,17,10.218331687046561,3,0,4,0.0,0.5714285714285714
29,18,31.28491620111732,5,0,0,0.0,0.0
29,19,15.96303297626549,5,0,3,0.0,0.375
29,20,14.997656616153725,5,0,2,0.0,0.2857142857142857
29,21,13.455235466620667,5,0,2,0.0,0.2857142857142857
29,22,9.792920534530246,4,0,5,0.0,0.5555555555555556
29,23,13.89267229637701,4,0,2,0.0,0.3333333333333333
29,24,25.800286669851886,4,0,0,0.0,0.0
29,25,11.353959693443088,5,0,5,0.0,0.5
29,26,20.696517412935325,4,0,0,0.0,0.0
29,27,14.170996693434102,5,0,2,0.0,0.2857142857142857
29,28,20.210526315789473,3,0,0,0.0,0.0
29,29,10.492058094914267,4,0,3,0.0,0.42857142857142855
