Time,Type,X,Y,Keys,Finger
11:38:59.218,tap,[348],[28],[t],Left Middle
11:38:59.326,tap,[444],[96],[h],Right Middle
11:39:00.568,swipe,"[705, 636]","[130, 55]","[l, i]",Right Middle
11:39:00.834,tap,[331],[185],[v],Left Middle
11:39:01.084,tap,[599],[60],[i],Right Middle
11:39:01.126,tap,[512],[186],[n],Right Index
11:39:01.234,tap,[395],[118],[g],Left Index
11:39:02.344,tap,[610],[29],[i],Right Middle
11:39:02.961,swipe,"[185, 137]","[24, 93]","[e, s]",Left Middle
11:39:03.478,tap,[138],[115],[s],Left Middle
11:39:03.836,tap,[441],[44],[y],Right Middle
11:39:06.238,swipe,"[196, 98]","[16, 83]","[e, s]",Left Middle
11:39:06.496,tap,[129],[121],[s],Left Middle
11:39:06.863,tap,[420],[43],[y],Left Middle
11:39:08.539,tap,[181],[31],[e],Left Middle
11:39:08.847,tap,[62],[126],[a],Left Ring
11:39:09.023,tap,[149],[127],[s],Left Ring
11:39:09.422,swipe,"[156, 198]","[129.5, 97]","[s, t]",Left Ring
11:39:11.157,tap,[189],[42],[e],Left Middle
11:39:11.348,tap,[69],[140],[a],Left Ring
11:39:11.765,swipe,"[142, 197]","[120, 92]","[s, t]",Left Ring
11:39:13.350,tap,[427],[41],[y],Left Middle
11:39:14.709,tap,[186],[25],[e],Left Middle
11:39:14.951,tap,[66],[113],[a],Left Ring
11:39:14.992,tap,[144],[115],[s],Left Ring
11:39:16.576,tap,[444],[31],[y],Left Middle
11:39:18.336,tap,[423],[38],[y],Left Middle
11:39:22.821,tap,[349],[36],[t],Left Middle
11:39:23.155,tap,[435],[116],[h],Right Index
11:39:23.255,tap,[191],[31],[e],Left Middle
11:39:24.231,swipe,"[696, 631]","[135, 75]","[l, u]",Right Middle
11:39:24.548,tap,[333],[194],[v],Left Middle
11:39:24.748,tap,[599],[48],[i],Right Middle
11:39:24.932,tap,[367],[120],[g],Left Index
11:39:27.632,swipe,"[699, 649]","[123, 71]","[l, i]",Right Middle
11:39:27.866,tap,[343],[190],[v],Left Middle
11:39:28.183,tap,[586],[43],[i],Right Middle
11:39:28.291,tap,[358],[114],[g],Left Index
11:39:30.350,swipe,"[703, 659]","[119, 73]","[l, i]",Right Middle
11:39:32.377,swipe,"[693, 644]","[125, 68]","[l, i]",Right Middle
11:39:32.693,tap,[339],[195],[v],Left Middle
11:39:32.918,tap,[595],[48],[i],Right Middle
11:39:32.960,tap,[500],[193],[n],Right Index
11:39:33.068,tap,[368],[125],[g],Left Index
11:39:34.320,tap,[606],[39],[i],Right Middle
11:39:34.444,tap,[150],[111],[s],Left Middle
11:39:34.928,tap,[185],[31],[e],Left Middle
11:39:35.212,tap,[79],[116],[a],Left Ring
11:39:35.337,tap,[162],[99],[s],Left Ring
11:39:36.071,tap,[424],[51],[y],Left Middle
11:39:38.780,tap,[207],[109],[d],Left Middle
11:39:38.863,tap,[660],[29],[o],Right Middle
11:39:39.264,tap,[488],[204],[n],Right Index
11:39:39.347,tap,[649],[49],[o],Right Middle
11:39:39.464,tap,[356],[55],[t],Left Middle
11:39:40.281,swipe,"[207, 241]","[125, 57]","[d, r]",Left Middle
11:39:40.481,tap,[586],[46],[i],Right Middle
11:39:40.723,tap,[603],[118],[k],Right Middle
11:39:43.074,swipe,"[192, 229]","[138, 75]","[d, r]",Left Middle
11:39:44.066,tap,[596],[27],[i],Right Middle
11:39:44.291,tap,[609],[104],[k],Right Middle
11:39:45.951,swipe,"[201, 240]","[125, 60]","[d, r]",Left Middle
11:39:46.284,tap,[598],[36],[i],Right Index
11:39:46.426,tap,[506],[185],[n],Right Index
11:39:46.534,tap,[612],[105],[k],Right Middle
11:39:47.818,tap,[343],[50],[t],Left Middle
11:39:47.894,tap,[479],[125],[h],Right Index
11:39:48.002,tap,[185],[42],[e],Left Middle
11:39:48.569,swipe,"[114, 85]","[17, 58]","[w, t]",Left Middle
11:39:48.819,tap,[324],[47],[t],Left Middle
11:39:49.002,tap,[185],[17],[e],Left Middle
11:39:49.052,tap,[271],[45],[r],Left Middle
11:39:51.279,tap,[345],[53],[t],Left Middle
11:39:51.387,tap,[476],[129.5],[h],Right Index
11:39:52.287,swipe,"[131, 158]","[124, 69]","[s, e]",Left Middle
11:39:52.538,tap,[246],[185],[c],Left Middle
11:39:52.746,tap,[636],[35],[i],Right Middle
11:39:52.779,tap,[485],[184],[n],Right Index
11:39:53.180,tap,[204],[108],[d],Left Middle
11:39:53.938,swipe,"[704, 656]","[126, 108]","[l, y]",Right Middle
11:39:57.298,swipe,"[693, 616]","[124, 138]","[l, b]",Right Middle
11:39:57.682,tap,[255],[34],[r],Left Middle
11:39:57.941,tap,[372],[127],[g],Left Middle
11:39:58.107,tap,[201],[38],[e],Left Middle
11:39:58.324,tap,[148],[115],[s],Left Middle
11:39:58.499,tap,[342],[63],[t],Left Middle
11:39:59.841,tap,[241],[193],[c],Left Middle
11:40:00.142,tap,[642],[57],[o],Right Middle
11:40:00.333,tap,[533],[46],[u],Right Middle
11:40:00.759,swipe,"[501, 465]","[201, 166]","[n, t]",Right Index
11:40:01.126,tap,[303],[34],[r],Left Middle
11:40:01.384,tap,[428],[60],[y],Left Middle
11:40:03.752,tap,[72],[118],[a],Left Ring
11:40:04.786,swipe,"[25, 67]","[34, 33]","[q, r]",Left Ring
11:40:05.236,tap,[87],[85],[a],Left Ring
11:40:05.486,tap,[255],[41],[r],Left Middle
11:40:05.661,tap,[366],[52],[t],Left Middle
11:40:05.878,tap,[198],[29],[e],Left Middle
11:40:05.920,tap,[262],[49],[r],Left Middle
11:40:07.146,tap,[660],[48],[o],Right Middle
11:40:07.354,tap,[299],[109],[f],Left Middle
11:40:08.004,tap,[77],[114],[a],Left Ring
11:40:08.513,tap,[230],[172],[c],Left Middle
11:40:08.646,tap,[222],[101],[d],Left Middle
11:40:10.172,swipe,"[243, 215]","[202, 133]","[c, e]",Left Middle
11:40:10.497,tap,[318],[50],[r],Left Middle
11:40:11.406,tap,[528],[59],[u],Right Middle
11:40:11.506,tap,[269],[28],[r],Left Middle
11:40:11.631,tap,[417],[52],[y],Left Middle
11:40:13.199,swipe,"[243, 227]","[199, 153]","[c, e]",Left Middle
11:40:14.058,tap,[486],[203],[n],Right Index
11:40:14.492,tap,[341],[43],[t],Left Middle
11:40:15.492,tap,[528],[43],[u],Right Middle
11:40:15.733,tap,[282],[27],[r],Left Middle
11:40:17.418,tap,[246],[182],[c],Left Middle
11:40:17.601,tap,[187],[39],[e],Left Middle
11:40:17.726,tap,[495],[189],[n],Right Index
11:40:18.035,tap,[351],[52],[t],Left Middle
11:40:18.560,tap,[523],[65],[u],Right Middle
11:40:19.019,swipe,"[272, 297]","[57, 56]","[r, u]",Left Middle
11:40:21.712,swipe,"[294, 269]","[126, 71]","[f, e]",Left Middle
11:40:22.229,tap,[194],[22],[e],Left Middle
11:40:22.604,tap,[40],[36],[q],Left Ring
11:40:23.304,tap,[535],[47],[u],Right Middle
11:40:23.504,tap,[185],[41],[e],Left Middle
